Atendente;Cliente;CPF;Telefone;EspecieBeneficio;PropostaTipo;NumeroProposta;PropostaStatus;BancoDigitado; ValorContrato ; ValorParcela ; ValorTroco ;TaxaPorc;TaxaCET;QuantidadeParcelas;BancoPortado;DataEnvioCIP;DataSaldoPago;OrigemCaptacao;Orgao;PossuiGravacao;PossuiFoto;EmRevisao;DataUltimoStatus;PossuiPendente;DataCriacaoProposta;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA ;999.000.084-00;(11) 90000-0084;42;REFIN DA PORTABILIDADE;1597499;INTEGRADO;FINANTO; R$ 4.984,90 ; R$ 110,46 ; R$ 1.919,24 ;1,85%;1,91%;108;PICPAY;30/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;10/08/2026;NAO;05/08/2026;
BRUNA CAROLINA SOARES;ADRIANO CAETANO MELO ;999.000.002-00;(11) 90000-0002;42;PORTABILIDADE;658730202;SALDO PAGO;PARANA; R$ 21.893,98 ; R$ 494,82 ; R$ -   ;0,00%;0,00%;0;INBURSA;24/08/2026;31/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;31/08/2026;NAO;24/08/2026;
BRUNA CAROLINA SOARES;DANILO VICTOR MORAES ;999.000.022-00;(11) 90000-0022;21;PORTABILIDADE;658707852;INTEGRADO;PARANA; R$ 8.119,90 ; R$ 223,18 ; R$ -   ;0,00%;0,00%;0;PINE;17/08/2026;24/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;27/08/2026;NAO;17/08/2026;
BRUNA CAROLINA SOARES;DANILO VICTOR MORAES ;999.000.022-00;(11) 90000-0022;21;REFIN DA PORTABILIDADE;858707863;INTEGRADO;PARANA; R$ 10.357,45 ; R$ 223,18 ; R$ 2.538,34 ;1,67%;1,69%;96;PINE;17/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;27/08/2026;NAO;27/08/2026;
BRUNA CAROLINA SOARES;DANILO VICTOR MORAES ;999.000.022-00;(11) 90000-0022;21;PORTABILIDADE;658707868;INTEGRADO;PARANA; R$ 4.697,80 ; R$ 138,00 ; R$ -   ;0,00%;0,00%;0;PINE;17/08/2026;24/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;25/08/2026;NAO;17/08/2026;
BRUNA CAROLINA SOARES;DANILO VICTOR MORAES ;999.000.022-00;(11) 90000-0022;21;REFIN DA PORTABILIDADE;858707875;INTEGRADO;PARANA; R$ 6.111,38 ; R$ 138,00 ; R$ 1.688,73 ;1,80%;1,82%;96;PINE;17/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;27/08/2026;NAO;25/08/2026;
BRUNA CAROLINA SOARES;DEBORA DANIEL REIS ;999.000.024-00;(11) 90000-0024;42;PORTABILIDADE;658663464;INTEGRADO;PARANA; R$ 17.952,67 ; R$ 408,22 ; R$ -   ;0,00%;0,00%;0;DAYCOVAL;03/08/2026;11/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;18/08/2026;NAO;03/08/2026;
BRUNA CAROLINA SOARES;DEBORA DANIEL REIS ;999.000.024-00;(11) 90000-0024;42;REFIN DA PORTABILIDADE;858663487;INTEGRADO;PARANA; R$ 20.114,34 ; R$ 408,22 ; R$ 2.161,67 ;1,62%;1,64%;108;DAYCOVAL;03/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;21/08/2026;NAO;18/08/2026;
BRUNA CAROLINA SOARES;ISABELA WILLIAM MORAES ;999.000.044-00;(11) 90000-0044;21;PORTABILIDADE;658701903;INTEGRADO;PARANA; R$ 36.475,79 ; R$ 819,30 ; R$ -   ;0,00%;0,00%;0;INBURSA;13/08/2026;20/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;25/08/2026;NAO;13/08/2026;
BRUNA CAROLINA SOARES;ISABELA WILLIAM MORAES ;999.000.044-00;(11) 90000-0044;21;REFIN DA PORTABILIDADE;858701911;INTEGRADO;PARANA; R$ 39.371,92 ; R$ 819,27 ; R$ 297,19 ;1,60%;1,60%;96;INBURSA;13/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;25/08/2026;NAO;25/08/2026;
BRUNA CAROLINA SOARES;JESSICA WILLIAM SANTOS ;999.000.046-00;(11) 90000-0046;42;PORTABILIDADE;658698847;INTEGRADO;PARANA; R$ 46.636,64 ; R$ 1.160,67 ; R$ -   ;0,00%;0,00%;0;PICPAY;13/08/2026;20/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;13/08/2026;
BRUNA CAROLINA SOARES;JESSICA WILLIAM SANTOS ;999.000.046-00;(11) 90000-0046;42;REFIN DA PORTABILIDADE;858698858;INTEGRADO;PARANA; R$ 57.923,26 ; R$ 1.160,67 ; R$ 11.567,61 ;1,60%;1,62%;108;PICPAY;13/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;25/08/2026;NAO;24/08/2026;
BRUNA CAROLINA SOARES;JESSICA WILLIAM SANTOS ;999.000.046-00;(11) 90000-0046;42;PORTABILIDADE;658698873;INTEGRADO;PARANA; R$ 8.430,55 ; R$ 189,98 ; R$ -   ;0,00%;0,00%;0;PICPAY;13/08/2026;20/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;13/08/2026;
BRUNA CAROLINA SOARES;JESSICA WILLIAM SANTOS ;999.000.046-00;(11) 90000-0046;42;REFIN DA PORTABILIDADE;858698879;INTEGRADO;PARANA; R$ 9.222,92 ; R$ 189,98 ; R$ 350,90 ;1,68%;1,69%;108;PICPAY;13/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;25/08/2026;NAO;24/08/2026;
BRUNA CAROLINA SOARES;PEDRO FERNANDO DIAS ;999.000.069-00;(11) 90000-0069;42;PORTABILIDADE;658712914;INTEGRADO;PARANA; R$ 74.339,20 ; R$ 1.627,42 ; R$ -   ;0,00%;0,00%;0;INBURSA;17/08/2026;24/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;28/08/2026;NAO;17/08/2026;
BRUNA CAROLINA SOARES;PEDRO FERNANDO DIAS ;999.000.069-00;(11) 90000-0069;42;REFIN DA PORTABILIDADE;858712937;INTEGRADO;PARANA; R$ 81.864,54 ; R$ 1.627,39 ; R$ 1.346,72 ;2,14%;1,61%;108;INBURSA;17/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;28/08/2026;NAO;28/08/2026;
BRUNA CAROLINA SOARES;RAQUEL EDUARDO TEIXEIRA;999.000.072-00;(11) 90000-0072;42;MARGEM;858667610;INTEGRADO;PARANA; R$ 4.757,67 ; R$ 110,97 ; R$ 4.757,67 ;1,85%;1,93%;108;;04/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;06/08/2026;NAO;04/08/2026;
BRUNA CAROLINA SOARES;RAUL LUCAS LOPES;999.000.073-00;(11) 90000-0073;21;PORTABILIDADE;658721028;INTEGRADO;PARANA; R$ 62.534,10 ; R$ 1.350,00 ; R$ -   ;0,00%;0,00%;0;PINE;20/08/2026;28/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;01/09/2026;NAO;20/08/2026;
BRUNA CAROLINA SOARES;RAUL LUCAS LOPES;999.000.073-00;(11) 90000-0073;21;REFIN DA PORTABILIDADE;858721041;AGUARDANDO ORG;PARANA; R$ 67.965,33 ; R$ 1.350,00 ; R$ 3.919,02 ;1,60%;1,60%;108;PINE;20/08/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;01/09/2026;NAO;01/09/2026;
BRUNA CAROLINA SOARES;TATIANA DANIEL VIEIRA ;999.000.079-00;(11) 90000-0079;21;PORTABILIDADE;658718056;INTEGRADO;PARANA; R$ 46.538,30 ; R$ 1.051,80 ; R$ -   ;0,00%;0,00%;0;INBURSA;19/08/2026;26/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;28/08/2026;NAO;19/08/2026;
BRUNA CAROLINA SOARES;TATIANA DANIEL VIEIRA ;999.000.079-00;(11) 90000-0079;21;REFIN DA PORTABILIDADE;858718068;INTEGRADO;PARANA; R$ 52.914,23 ; R$ 1.051,80 ; R$ 2.461,56 ;1,60%;1,60%;108;INBURSA;19/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;01/09/2026;NAO;28/08/2026;
CAMILA EDUARDA RIBEIRO;AMANDA MIGUEL MARTINS;999.000.005-00;(11) 90000-0005;41;PORTABILIDADE;658649337;INTEGRADO;PARANA; R$ 46.678,27 ; R$ 1.165,00 ; R$ -   ;0,00%;0,00%;0;QI;28/07/2026;06/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;07/08/2026;NAO;28/07/2026;
CAMILA EDUARDA RIBEIRO;AMANDA MIGUEL MARTINS;999.000.005-00;(11) 90000-0005;41;REFIN DA PORTABILIDADE;858649340;INTEGRADO;PARANA; R$ 55.931,83 ; R$ 1.165,00 ; R$ 9.253,56 ;1,60%;1,61%;108;QI;28/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;07/08/2026;NAO;07/08/2026;
CAMILA EDUARDA RIBEIRO;BRUNA EDUARDO DIAS;999.000.012-00;(11) 90000-0012;21;PORTABILIDADE;658724942;SALDO PAGO;PARANA; R$ 24.080,74 ; R$ 522,32 ; R$ -   ;0,00%;0,00%;0;AGIBANK;21/08/2026;27/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;27/08/2026;NAO;21/08/2026;
CAMILA EDUARDA RIBEIRO;BRUNA EDUARDO DIAS;999.000.012-00;(11) 90000-0012;21;PORTABILIDADE;658724973;SALDO PAGO;PARANA; R$ 17.475,04 ; R$ 379,04 ; R$ -   ;0,00%;0,00%;0;AGIBANK;21/08/2026;27/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;27/08/2026;NAO;21/08/2026;
CAMILA EDUARDA RIBEIRO;BRUNA EDUARDO DIAS;999.000.012-00;(11) 90000-0012;21;MARGEM;122849864;INTEGRADO;FACTA; R$ 2.462,21 ; R$ 56,03 ; R$ 2.462,21 ;1,85%;1,85%;108;;10/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;21/08/2026;NAO;10/08/2026;
CAMILA EDUARDA RIBEIRO;DAVI MIGUEL NUNES;999.000.023-00;(11) 90000-0023;46;MARGEM;858756288;AGUARDANDO ORG;PARANA; R$ 24.426,07 ; R$ 549,54 ; R$ 24.426,07 ;1,85%;1,93%;108;;31/08/2026;;Telefone Receptivo;INSS;SIM;NAO;NAO;31/08/2026;NAO;31/08/2026;
CAMILA EDUARDA RIBEIRO;EMANUELA WILLIAM PEREIRA;999.000.027-00;(11) 90000-0027;21;PORTABILIDADE;658651393;INTEGRADO;PARANA; R$ -   ; R$ 441,76 ; R$ -   ;0,00%;0,00%;0;DAYCOVAL;24/07/2026;04/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;06/08/2026;NAO;24/07/2026;
CAMILA EDUARDA RIBEIRO;EMANUELA WILLIAM PEREIRA;999.000.027-00;(11) 90000-0027;21;REFIN DA PORTABILIDADE;858651406;INTEGRADO;PARANA; R$ 22.269,25 ; R$ 441,76 ; R$ 2.764,79 ;1,60%;1,61%;108;DAYCOVAL;24/07/2026;;Telefone Receptivo;INSS;SIM;SIM;SIM;10/08/2026;NAO;06/08/2026;
CAMILA EDUARDA RIBEIRO;ENZO VICTOR RIBEIRO;999.000.028-00;(11) 90000-0028;21;PORTABILIDADE;658712767;SALDO PAGO;PARANA; R$ 26.930,61 ; R$ 580,31 ; R$ -   ;0,00%;0,00%;0;INBURSA;17/08/2026;24/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;17/08/2026;
CAMILA EDUARDA RIBEIRO;ENZO VICTOR RIBEIRO;999.000.028-00;(11) 90000-0028;21;PORTABILIDADE;1621388;INTEGRADO;FINANTO; R$ 2.949,71 ; R$ 75,69 ; R$ -   ;0,00%;0,00%;0;C6 BANK;17/08/2026;24/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;28/08/2026;NAO;17/08/2026;
CAMILA EDUARDA RIBEIRO;ENZO VICTOR RIBEIRO;999.000.028-00;(11) 90000-0028;21;REFIN DA PORTABILIDADE;1653383;INTEGRADO;FINANTO; R$ 3.459,44 ; R$ 75,68 ; R$ 593,64 ;1,85%;1,89%;108;C6 BANK;17/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;28/08/2026;NAO;28/08/2026;
CAMILA EDUARDA RIBEIRO;FERNANDA EDUARDO SOUZA;999.000.033-00;(11) 90000-0033;21;PORTABILIDADE;658675287;INTEGRADO;PARANA; R$ 29.030,93 ; R$ 630,91 ; R$ -   ;0,00%;0,00%;0;ITAU;05/08/2026;13/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;17/08/2026;NAO;05/08/2026;
CAMILA EDUARDA RIBEIRO;FERNANDA EDUARDO SOUZA;999.000.033-00;(11) 90000-0033;21;REFIN DA PORTABILIDADE;858675304;INTEGRADO;PARANA; R$ 31.490,74 ; R$ 630,91 ; R$ 2.459,81 ;1,60%;1,61%;108;ITAU;05/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;19/08/2026;NAO;17/08/2026;
CAMILA EDUARDA RIBEIRO;FERNANDA EDUARDO SOUZA;999.000.033-00;(11) 90000-0033;21;MARGEM;2456789;INTEGRADO;QUALIBANKING; R$ 1.532,85 ; R$ 35,15 ; R$ 1.532,85 ;1,85%;1,97%;108;;05/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;13/08/2026;NAO;05/08/2026;
CAMILA EDUARDA RIBEIRO;GEOVANA MIGUEL GOMES ;999.000.037-00;(11) 90000-0037;21;PORTABILIDADE;658623699;INTEGRADO;PARANA; R$ 3.943,02 ; R$ 142,55 ; R$ -   ;0,00%;0,00%;0;INBURSA;03/07/2026;10/07/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;04/08/2026;NAO;03/07/2026;
CAMILA EDUARDA RIBEIRO;JULIANO PAULO GOMES ;999.000.049-00;(11) 90000-0049;21;PORTABILIDADE;832464320;INTEGRADO;DAYCOVAL; R$ 7.942,12 ; R$ 221,07 ; R$ -   ;0,00%;0,00%;0;INBURSA;26/06/2026;08/07/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;07/08/2026;NAO;26/06/2026;
CAMILA EDUARDA RIBEIRO;LETICIA MIGUEL COSTA ;999.000.055-00;(11) 90000-0055;41;PORTABILIDADE;658705617;INTEGRADO;PARANA; R$ 21.503,40 ; R$ 1.153,21 ; R$ -   ;0,00%;0,00%;0;CREFISA;14/08/2026;21/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;14/08/2026;
CAMILA EDUARDA RIBEIRO;LETICIA MIGUEL COSTA ;999.000.055-00;(11) 90000-0055;41;REFIN DA PORTABILIDADE;858705668;INTEGRADO;PARANA; R$ 50.809,18 ; R$ 1.153,21 ; R$ 28.747,27 ;1,62%;1,68%;84;CREFISA;14/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;24/08/2026;
CAMILA EDUARDA RIBEIRO;LETICIA MIGUEL COSTA ;999.000.055-00;(11) 90000-0055;41;PORTABILIDADE;658705683;INTEGRADO;PARANA; R$ 18.998,00 ; R$ 461,30 ; R$ -   ;0,00%;0,00%;0;NUBANK;14/08/2026;21/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;14/08/2026;
CAMILA EDUARDA RIBEIRO;LETICIA MIGUEL COSTA ;999.000.055-00;(11) 90000-0055;41;REFIN DA PORTABILIDADE;858705701;INTEGRADO;PARANA; R$ 19.725,35 ; R$ 461,30 ; R$ 176,65 ;1,76%;1,77%;84;NUBANK;14/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;24/08/2026;
CAMILA EDUARDA RIBEIRO;RENAN LUCAS CARVALHO ;999.000.074-00;(11) 90000-0074;41;PORTABILIDADE;658644770;INTEGRADO;PARANA; R$ 18.964,48 ; R$ 500,00 ; R$ -   ;0,00%;0,00%;0;PINE;28/07/2026;06/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;06/08/2026;NAO;28/07/2026;
CAMILA EDUARDA RIBEIRO;RENAN LUCAS CARVALHO ;999.000.074-00;(11) 90000-0074;41;REFIN DA PORTABILIDADE;858644784;INTEGRADO;PARANA; R$ 24.572,79 ; R$ 500,00 ; R$ 5.808,33 ;1,61%;1,63%;108;PINE;28/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;10/08/2026;NAO;06/08/2026;
