Atendente;Cliente;CPF;Telefone;EspecieBeneficio;PropostaTipo;NumeroProposta;PropostaStatus;BancoDigitado;ValorContrato;ValorParcela;ValorTroco;TaxaPorc;TaxaCET;QuantidadeParcelas;BancoPortado;DataEnvioCIP;DataSaldoPago;OrigemCaptacao;Orgao;PossuiGravacao;PossuiFoto;EmRevisao;DataUltimoStatus;PossuiPendente;DataCriacaoProposta;Unnamed: 26
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858654755;INTEGRADO;PARANA;8021.78;169.0;777.75;0.016;0.0161;96;AGIBANK;2026-08-02;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-18;False;2026-08-12;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654762;INTEGRADO;PARANA;6620.84;149.56;0.0;0.0;0.0;0;BANCO PAULISTA;2026-08-02;07/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-20;False;2026-08-02;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858729738;AGUARDANDO ORG;PARANA;7157.0;149.56;508.98;0.016;0.0161;96;BANCO PAULISTA;2026-08-02;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-27;False;2026-08-20;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654844;INTEGRADO;PARANA;5766.14;141.64;0.0;0.0;0.0;0;PAN;2026-08-02;07/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-19;False;2026-08-02;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858654852;INTEGRADO;PARANA;6713.6;141.64;947.46;0.016;0.0163;96;PAN;2026-08-02;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-25;False;2026-08-19;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;MARGEM;858751232;AGUARDANDO ORG;PARANA;2774.84;68.5;2774.84;0.0185;0.019299999;108;NÃO INFORMADO;2026-08-30;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;False;False;2026-08-30;False;2026-08-30;
ALINE MARTINS FERREIRA;GABRIEL AUGUSTO VIEIRA;999.000.035-00;(11) 90000-0035;42;PORTABILIDADE;658704389;INTEGRADO;PARANA;14795.5;375.71;0.0;0.0;0.0;0;NÃO INFORMADO;2026-08-14;24/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-09-01;False;2026-08-14;
ALINE MARTINS FERREIRA;GABRIEL AUGUSTO VIEIRA;999.000.035-00;(11) 90000-0035;42;REFIN DA PORTABILIDADE;858704399;AGUARDANDO ORG;PARANA;18188.11;375.71;3716.07;0.016;0.0162;108;NÃO INFORMADO;2026-08-14;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;False;False;False;2026-09-01;False;2026-09-01;
ALINE MARTINS FERREIRA;GABRIEL AUGUSTO VIEIRA;999.000.035-00;(11) 90000-0035;42;PORTABILIDADE;658704405;INTEGRADO;PARANA;7558.19;163.94;0.0;0.0;0.0;0;INBURSA;2026-08-14;21/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-26;False;2026-08-14;
ALINE MARTINS FERREIRA;GABRIEL AUGUSTO VIEIRA;999.000.035-00;(11) 90000-0035;42;REFIN DA PORTABILIDADE;858704415;INTEGRADO;PARANA;8215.03;163.94;721.36;0.016;0.0161;108;INBURSA;2026-08-14;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-26;False;2026-08-26;
ALINE MARTINS FERREIRA;HUGO EDUARDO CORREIA;999.000.041-00;(11) 90000-0041;21;PORTABILIDADE;1620075;INTEGRADO;FINANTO;10200.09;235.17;0.0;0.0;0.0;0;C6 BANK;2026-08-17;25/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-09-01;False;2026-08-17;
ALINE MARTINS FERREIRA;HUGO EDUARDO CORREIA;999.000.041-00;(11) 90000-0041;21;REFIN DA PORTABILIDADE;1660612;AGUARDANDO ORG;FINANTO;10769.21;235.16;321.8;0.0185;0.0188;108;C6 BANK;2026-08-17;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;False;False;False;2026-09-01;False;2026-09-01;
ALINE MARTINS FERREIRA;KAUÃ PAULO NASCIMENTO;999.000.051-00;(11) 90000-0051;41;PORTABILIDADE;658640847;INTEGRADO;PARANA;17518.8;454.38;0.0;0.0;0.0;0;SICOOB;2026-07-24;30/07/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-04;False;2026-07-24;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA;999.000.084-00;(11) 90000-0084;42;PORTABILIDADE;658649439;INTEGRADO;PARANA;14749.45;430.0;0.0;0.0;0.0;0;SICRED;2026-07-30;06/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-07;False;2026-07-30;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA;999.000.084-00;(11) 90000-0084;42;REFIN DA PORTABILIDADE;858649446;INTEGRADO;PARANA;21228.01;430.0;6478.56;0.016;0.0163;108;SICRED;2026-07-30;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-10;False;2026-08-07;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA;999.000.084-00;(11) 90000-0084;42;PORTABILIDADE;1588857;INTEGRADO;FINANTO;2197.4;117.33;0.0;0.0;0.0;0;SICRED;2026-07-30;06/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-10;False;2026-07-30;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA;999.000.084-00;(11) 90000-0084;42;REFIN DA PORTABILIDADE;1588858;INTEGRADO;FINANTO;5310.69;117.33;3007.63;0.0185;0.019299999;108;SICRED;2026-07-30;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-10;False;2026-08-10;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA;999.000.084-00;(11) 90000-0084;42;PORTABILIDADE;1588855;INTEGRADO;FINANTO;2971.7;110.47;0.0;0.0;0.0;0;PICPAY;2026-07-30;04/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-05;False;2026-07-30;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA;999.000.084-00;(11) 90000-0084;42;REFIN DA PORTABILIDADE;1597499;INTEGRADO;FINANTO;4984.9;110.46;1919.24;0.0185;0.0191;108;PICPAY;2026-07-30;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-10;False;2026-08-05;
BRUNA CAROLINA SOARES;ADRIANO CAETANO MELO;999.000.002-00;(11) 90000-0002;42;PORTABILIDADE;658730202;SALDO PAGO;PARANA;21893.98;494.82;0.0;0.0;0.0;0;INBURSA;2026-08-24;31/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-31;False;2026-08-24;
BRUNA CAROLINA SOARES;DANILO VICTOR MORAES;999.000.022-00;(11) 90000-0022;21;PORTABILIDADE;658707852;INTEGRADO;PARANA;8119.9;223.18;0.0;0.0;0.0;0;PINE;2026-08-17;24/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-27;False;2026-08-17;
BRUNA CAROLINA SOARES;DANILO VICTOR MORAES;999.000.022-00;(11) 90000-0022;21;REFIN DA PORTABILIDADE;858707863;INTEGRADO;PARANA;10357.45;223.18;2538.34;0.0167;0.016900001;96;PINE;2026-08-17;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-27;False;2026-08-27;
BRUNA CAROLINA SOARES;DANILO VICTOR MORAES;999.000.022-00;(11) 90000-0022;21;PORTABILIDADE;658707868;INTEGRADO;PARANA;4697.8;138.0;0.0;0.0;0.0;0;PINE;2026-08-17;24/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-25;False;2026-08-17;
BRUNA CAROLINA SOARES;DANILO VICTOR MORAES;999.000.022-00;(11) 90000-0022;21;REFIN DA PORTABILIDADE;858707875;INTEGRADO;PARANA;6111.38;138.0;1688.73;0.018;0.0182;96;PINE;2026-08-17;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-27;False;2026-08-25;
BRUNA CAROLINA SOARES;DEBORA DANIEL REIS;999.000.024-00;(11) 90000-0024;42;PORTABILIDADE;658663464;INTEGRADO;PARANA;17952.67;408.22;0.0;0.0;0.0;0;DAYCOVAL;2026-08-03;11/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-18;False;2026-08-03;
BRUNA CAROLINA SOARES;DEBORA DANIEL REIS;999.000.024-00;(11) 90000-0024;42;REFIN DA PORTABILIDADE;858663487;INTEGRADO;PARANA;20114.34;408.22;2161.67;0.0162;0.0164;108;DAYCOVAL;2026-08-03;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-21;False;2026-08-18;
BRUNA CAROLINA SOARES;ISABELA WILLIAM MORAES;999.000.044-00;(11) 90000-0044;21;PORTABILIDADE;658701903;INTEGRADO;PARANA;36475.79;819.3;0.0;0.0;0.0;0;INBURSA;2026-08-13;20/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-25;False;2026-08-13;
BRUNA CAROLINA SOARES;ISABELA WILLIAM MORAES;999.000.044-00;(11) 90000-0044;21;REFIN DA PORTABILIDADE;858701911;INTEGRADO;PARANA;39371.92;819.27;297.19;0.016;0.016;96;INBURSA;2026-08-13;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-25;False;2026-08-25;
BRUNA CAROLINA SOARES;JESSICA WILLIAM SANTOS;999.000.046-00;(11) 90000-0046;42;PORTABILIDADE;658698847;INTEGRADO;PARANA;46636.64;1160.67;0.0;0.0;0.0;0;PICPAY;2026-08-13;20/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-24;False;2026-08-13;
BRUNA CAROLINA SOARES;JESSICA WILLIAM SANTOS;999.000.046-00;(11) 90000-0046;42;REFIN DA PORTABILIDADE;858698858;INTEGRADO;PARANA;57923.26;1160.67;11567.61;0.016;0.0162;108;PICPAY;2026-08-13;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-25;False;2026-08-24;
BRUNA CAROLINA SOARES;JESSICA WILLIAM SANTOS;999.000.046-00;(11) 90000-0046;42;PORTABILIDADE;658698873;INTEGRADO;PARANA;8430.55;189.98;0.0;0.0;0.0;0;PICPAY;2026-08-13;20/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-24;False;2026-08-13;
BRUNA CAROLINA SOARES;JESSICA WILLIAM SANTOS;999.000.046-00;(11) 90000-0046;42;REFIN DA PORTABILIDADE;858698879;INTEGRADO;PARANA;9222.92;189.98;350.9;0.0168;0.016900001;108;PICPAY;2026-08-13;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-25;False;2026-08-24;
BRUNA CAROLINA SOARES;PEDRO FERNANDO DIAS;999.000.069-00;(11) 90000-0069;42;PORTABILIDADE;658712914;INTEGRADO;PARANA;74339.2;1627.42;0.0;0.0;0.0;0;INBURSA;2026-08-17;24/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-28;False;2026-08-17;
BRUNA CAROLINA SOARES;PEDRO FERNANDO DIAS;999.000.069-00;(11) 90000-0069;42;REFIN DA PORTABILIDADE;858712937;INTEGRADO;PARANA;81864.54;1627.39;1346.72;0.0214;0.0161;108;INBURSA;2026-08-17;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-28;False;2026-08-28;
BRUNA CAROLINA SOARES;RAQUEL EDUARDO TEIXEIRA;999.000.072-00;(11) 90000-0072;42;MARGEM;858667610;INTEGRADO;PARANA;4757.67;110.97;4757.67;0.0185;0.019299999;108;NÃO INFORMADO;2026-08-04;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-06;False;2026-08-04;
BRUNA CAROLINA SOARES;RAUL LUCAS LOPES;999.000.073-00;(11) 90000-0073;21;PORTABILIDADE;658721028;INTEGRADO;PARANA;62534.1;1350.0;0.0;0.0;0.0;0;PINE;2026-08-20;28/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-09-01;False;2026-08-20;
BRUNA CAROLINA SOARES;RAUL LUCAS LOPES;999.000.073-00;(11) 90000-0073;21;REFIN DA PORTABILIDADE;858721041;AGUARDANDO ORG;PARANA;67965.33;1350.0;3919.02;0.016;0.016;108;PINE;2026-08-20;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;False;False;False;2026-09-01;False;2026-09-01;
BRUNA CAROLINA SOARES;TATIANA DANIEL VIEIRA;999.000.079-00;(11) 90000-0079;21;PORTABILIDADE;658718056;INTEGRADO;PARANA;46538.3;1051.8;0.0;0.0;0.0;0;INBURSA;2026-08-19;26/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-28;False;2026-08-19;
BRUNA CAROLINA SOARES;TATIANA DANIEL VIEIRA;999.000.079-00;(11) 90000-0079;21;REFIN DA PORTABILIDADE;858718068;INTEGRADO;PARANA;52914.23;1051.8;2461.56;0.016;0.016;108;INBURSA;2026-08-19;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-09-01;False;2026-08-28;
CAMILA EDUARDA RIBEIRO;AMANDA MIGUEL MARTINS;999.000.005-00;(11) 90000-0005;41;PORTABILIDADE;658649337;INTEGRADO;PARANA;46678.27;1165.0;0.0;0.0;0.0;0;QI;2026-07-28;06/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-07;False;2026-07-28;
CAMILA EDUARDA RIBEIRO;AMANDA MIGUEL MARTINS;999.000.005-00;(11) 90000-0005;41;REFIN DA PORTABILIDADE;858649340;INTEGRADO;PARANA;55931.83;1165.0;9253.56;0.016;0.0161;108;QI;2026-07-28;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-07;False;2026-08-07;
CAMILA EDUARDA RIBEIRO;BRUNA EDUARDO DIAS;999.000.012-00;(11) 90000-0012;21;PORTABILIDADE;658724942;SALDO PAGO;PARANA;24080.74;522.32;0.0;0.0;0.0;0;AGIBANK;2026-08-21;27/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-27;False;2026-08-21;
CAMILA EDUARDA RIBEIRO;BRUNA EDUARDO DIAS;999.000.012-00;(11) 90000-0012;21;PORTABILIDADE;658724973;SALDO PAGO;PARANA;17475.04;379.04;0.0;0.0;0.0;0;AGIBANK;2026-08-21;27/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-27;False;2026-08-21;
CAMILA EDUARDA RIBEIRO;BRUNA EDUARDO DIAS;999.000.012-00;(11) 90000-0012;21;MARGEM;122849864;INTEGRADO;FACTA;2462.21;56.03;2462.21;0.0185;0.0185;108;NÃO INFORMADO;2026-08-10;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-21;False;2026-08-10;
CAMILA EDUARDA RIBEIRO;DAVI MIGUEL NUNES;999.000.023-00;(11) 90000-0023;46;MARGEM;858756288;AGUARDANDO ORG;PARANA;24426.07;549.54;24426.07;0.0185;0.019299999;108;NÃO INFORMADO;2026-08-31;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;False;False;2026-08-31;False;2026-08-31;
CAMILA EDUARDA RIBEIRO;EMANUELA WILLIAM PEREIRA;999.000.027-00;(11) 90000-0027;21;PORTABILIDADE;658651393;INTEGRADO;PARANA;0.0;441.76;0.0;0.0;0.0;0;DAYCOVAL;2026-07-24;04/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-06;False;2026-07-24;
CAMILA EDUARDA RIBEIRO;EMANUELA WILLIAM PEREIRA;999.000.027-00;(11) 90000-0027;21;REFIN DA PORTABILIDADE;858651406;INTEGRADO;PARANA;22269.25;441.76;2764.79;0.016;0.0161;108;DAYCOVAL;2026-07-24;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;True;2026-08-10;False;2026-08-06;
CAMILA EDUARDA RIBEIRO;ENZO VICTOR RIBEIRO;999.000.028-00;(11) 90000-0028;21;PORTABILIDADE;658712767;SALDO PAGO;PARANA;26930.61;580.31;0.0;0.0;0.0;0;INBURSA;2026-08-17;24/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-24;False;2026-08-17;
CAMILA EDUARDA RIBEIRO;ENZO VICTOR RIBEIRO;999.000.028-00;(11) 90000-0028;21;PORTABILIDADE;1621388;INTEGRADO;FINANTO;2949.71;75.69;0.0;0.0;0.0;0;C6 BANK;2026-08-17;24/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-28;False;2026-08-17;
CAMILA EDUARDA RIBEIRO;ENZO VICTOR RIBEIRO;999.000.028-00;(11) 90000-0028;21;REFIN DA PORTABILIDADE;1653383;INTEGRADO;FINANTO;3459.44;75.68;593.64;0.0185;0.0189;108;C6 BANK;2026-08-17;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-28;False;2026-08-28;
CAMILA EDUARDA RIBEIRO;FERNANDA EDUARDO SOUZA;999.000.033-00;(11) 90000-0033;21;PORTABILIDADE;658675287;INTEGRADO;PARANA;29030.93;630.91;0.0;0.0;0.0;0;ITAU;2026-08-05;13/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-17;False;2026-08-05;
CAMILA EDUARDA RIBEIRO;FERNANDA EDUARDO SOUZA;999.000.033-00;(11) 90000-0033;21;REFIN DA PORTABILIDADE;858675304;INTEGRADO;PARANA;31490.74;630.91;2459.81;0.016;0.0161;108;ITAU;2026-08-05;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-19;False;2026-08-17;
CAMILA EDUARDA RIBEIRO;FERNANDA EDUARDO SOUZA;999.000.033-00;(11) 90000-0033;21;MARGEM;2456789;INTEGRADO;QUALIBANKING;1532.85;35.15;1532.85;0.0185;0.0197;108;NÃO INFORMADO;2026-08-05;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-13;False;2026-08-05;
CAMILA EDUARDA RIBEIRO;GEOVANA MIGUEL GOMES;999.000.037-00;(11) 90000-0037;21;PORTABILIDADE;658623699;INTEGRADO;PARANA;3943.02;142.55;0.0;0.0;0.0;0;INBURSA;2026-07-03;10/07/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-04;False;2026-07-03;
CAMILA EDUARDA RIBEIRO;JULIANO PAULO GOMES;999.000.049-00;(11) 90000-0049;21;PORTABILIDADE;832464320;INTEGRADO;DAYCOVAL;7942.12;221.07;0.0;0.0;0.0;0;INBURSA;2026-06-26;08/07/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-07;False;2026-06-26;
CAMILA EDUARDA RIBEIRO;LETICIA MIGUEL COSTA;999.000.055-00;(11) 90000-0055;41;PORTABILIDADE;658705617;INTEGRADO;PARANA;21503.4;1153.21;0.0;0.0;0.0;0;CREFISA;2026-08-14;21/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-24;False;2026-08-14;
CAMILA EDUARDA RIBEIRO;LETICIA MIGUEL COSTA;999.000.055-00;(11) 90000-0055;41;REFIN DA PORTABILIDADE;858705668;INTEGRADO;PARANA;50809.18;1153.21;28747.27;0.0162;0.0168;84;CREFISA;2026-08-14;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-24;False;2026-08-24;
CAMILA EDUARDA RIBEIRO;LETICIA MIGUEL COSTA;999.000.055-00;(11) 90000-0055;41;PORTABILIDADE;658705683;INTEGRADO;PARANA;18998.0;461.3;0.0;0.0;0.0;0;NUBANK;2026-08-14;21/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-24;False;2026-08-14;
CAMILA EDUARDA RIBEIRO;LETICIA MIGUEL COSTA;999.000.055-00;(11) 90000-0055;41;REFIN DA PORTABILIDADE;858705701;INTEGRADO;PARANA;19725.35;461.3;176.65;0.0176;0.0177;84;NUBANK;2026-08-14;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-24;False;2026-08-24;
CAMILA EDUARDA RIBEIRO;RENAN LUCAS CARVALHO;999.000.074-00;(11) 90000-0074;41;PORTABILIDADE;658644770;INTEGRADO;PARANA;18964.48;500.0;0.0;0.0;0.0;0;PINE;2026-07-28;06/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-06;False;2026-07-28;
CAMILA EDUARDA RIBEIRO;RENAN LUCAS CARVALHO;999.000.074-00;(11) 90000-0074;41;REFIN DA PORTABILIDADE;858644784;INTEGRADO;PARANA;24572.79;500.0;5808.33;0.0161;0.0163;108;PINE;2026-07-28;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-10;False;2026-08-06;
CAMILA EDUARDA RIBEIRO;TIAGO DANIEL RAMOS;999.000.081-00;(11) 90000-0081;41;PORTABILIDADE;658668788;INTEGRADO;PARANA;15345.35;422.88;0.0;0.0;0.0;0;INBURSA;2026-08-04;11/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-13;False;2026-08-04;
CAMILA EDUARDA RIBEIRO;TIAGO DANIEL RAMOS;999.000.081-00;(11) 90000-0081;41;REFIN DA PORTABILIDADE;858668823;INTEGRADO;PARANA;20027.1;422.88;4681.75;0.016;0.0162;96;INBURSA;2026-08-04;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-13;False;2026-08-13;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO;999.000.082-00;(11) 90000-0082;42;PORTABILIDADE;658690179;INTEGRADO;PARANA;19685.67;494.82;0.0;0.0;0.0;0;PINE;2026-08-11;18/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-20;False;2026-08-11;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO;999.000.082-00;(11) 90000-0082;42;REFIN DA PORTABILIDADE;858690199;INTEGRADO;PARANA;24676.87;494.82;4640.77;0.016;0.0162;108;PINE;2026-08-11;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-24;False;2026-08-20;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO;999.000.082-00;(11) 90000-0082;42;PORTABILIDADE;658690243;INTEGRADO;PARANA;6014.06;151.17;0.0;0.0;0.0;0;PINE;2026-08-11;18/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-20;False;2026-08-11;
